HEROP_ID,OdMortRtAv
050US13125,16.6
050US13127,17.08
050US13129,17.8
050US13131,10.84
050US13133,14.52
050US13135,10.14
050US13137,17.3
050US13139,16.1
050US13141,14.04
050US13143,27.46
050US13145,12.92
050US13147,19.14
050US13149,18.24
050US13151,14.86
050US13153,12.5
050US13155,14.04
050US13157,20.84
050US13159,15.32
050US13161,20.72
050US13163,14.48
050US13165,13.28
050US13167,14.34
050US13169,14.68
050US13171,17.44
050US13173,13.8
050US13175,14.78
050US13177,11.64
050US13179,12.04
050US13181,16.86
050US13183,14.9
050US13185,9.96
050US13187,22.2
050US13189,16.2
050US13191,16.34
050US13193,13.54
050US13195,20.92
050US13197,12.44
050US13199,16.46
050US13201,12.76
050US13205,11.88
050US13207,14.92
050US13209,16.42
050US13211,14.2
050US13213,24.7
050US13215,11.26
050US13217,14.04
050US13219,13.9
050US13221,17.58
050US13223,17.66
050US13225,15.22
050US13227,18.7
050US13229,19.18
050US13231,14.34
050US13233,22.26
050US13235,14.84
050US13237,14.4
050US13239,12.6
050US13241,27.62
050US13243,11.14
050US13245,22.52
050US13247,14.6
050US13249,12.38
050US13251,12.96
050US13253,13.62
050US13255,16.84
050US13257,21.92
050US13259,12.08
050US13261,11.22
050US13263,14.16
050US13265,15.46
050US13267,16.66
050US13269,14.76
050US13271,15.36
050US13273,10.66
050US13275,9.8
050US13277,11.68
050US13279,15.16
050US13281,24.1
050US13283,14.34
050US13285,14.84
050US13287,13.48
050US13289,14.98
050US13291,22.5
050US13293,15.3
050US13295,19.8
050US13297,17.58
050US13299,18.74
050US13301,15.42
050US13303,14.52
050US13305,21.2
050US13307,11.76
050US13309,16.18
050US13311,21
050US13313,17.1
050US13315,13.8
050US13317,16.8
050US13319,14.64
050US13321,13.4
050US15001,12.9
050US15003,15.16
050US15005,19.66
050US15007,15.28
050US15009,14.58
050US16001,15.2
050US16003,17.18
050US16005,23.16
050US16007,21.8
050US16009,17.92
050US16011,14.8
050US16013,15.64
050US16015,18.22
050US16017,15.44
050US16019,20.96
050US16021,19.7
050US16023,16.38
050US16025,16.48
050US16027,10.84
050US16029,19.6
050US16031,16.22
050US16033,17.16
050US16035,16.3
050US16037,17.4
050US16039,15.3
050US16041,19.26
050US16043,15.76
050US16045,19.66
050US16047,16.62
050US16049,16.16
050US16051,13.8
050US16053,14.72
050US16055,14.9
050US16057,14.22
050US16059,18.26
050US16061,16.3
050US16063,16.46
050US16065,12.08
050US16067,16.46
050US16069,17.04
050US16071,18.16
050US16073,18.2
050US16075,18.34
050US16077,17.34
050US16079,20.76
050US16081,16.44
050US16083,18.52
050US16085,19.1
050US16087,17.7
050US17001,15.46
050US17003,19.06
050US17005,22.64
050US17007,15.86
050US17009,15.4
050US17011,16.28
050US17013,20.28
050US17015,14.22
050US17017,16.74
050US17019,16.2
050US17021,17.36
050US17023,18.82
050US17025,18.44
050US17027,14.82
050US17029,14.44
050US17031,21.56
050US17033,17.1
050US17035,16.04
050US17037,13.46
050US17039,18.32
050US17041,15.52
050US17043,14.48
050US17045,17.56
050US17047,19.86
050US17049,16.54
050US17051,19.18
050US17053,17.8
050US17055,25.26
050US17057,16.38
050US17059,24.64
050US17061,20.08
050US17063,20.86
050US17065,21.4
050US17067,13.9
050US17069,26.36
050US17071,13.78
050US17073,12.3
050US17075,21.14
050US17077,18.76
050US17079,17.28
050US17081,19.88
050US17083,26.78
050US17085,12.48
050US17087,20.68
050US17089,12.82
050US17091,20.86
050US17093,13.68
050US17095,15.3
050US17097,13.44
050US17099,26.36
050US17101,18.82
050US17103,16.5
050US17105,21.9
050US17107,16.62
050US17109,13.12
050US17111,17.84
050US17113,16.32
050US17115,16.88
050US17117,17.7
050US17119,32.42
050US17121,23.8
050US17123,17.42
050US17125,17.04
050US17127,24.18
050US17129,17.22
050US17131,13.58
050US17133,18.5
050US17135,20.34
050US17137,15.58
050US17139,15.16
050US17141,15.12
050US17143,23.24
050US17145,19.1
050US17147,15.52
050US17149,18.76
050US17151,24.6
050US17153,20.66
050US17155,20
050US17157,18.84
050US17159,17.74
050US17161,12.92
050US17163,21.2
050US17165,28.04
050US17167,19.5
050US17169,14.74
050US17171,17.14
050US17173,16.46
050US17175,16.7
050US17177,15.44
050US17179,18.06
050US17181,20.46
050US17183,23.2
050US17185,18.06
050US17187,15.08
050US17189,18.46
050US17191,19.1
050US17193,23.74
050US17195,13.48
050US17197,18.66
050US17199,19.96
050US17201,38.42
050US17203,14.32
050US18001,15.38
050US18003,21.36
050US18005,23.2
050US18007,19.58
050US18009,30.28
050US18011,20.44
050US18013,21.08
050US18015,18.72
050US18017,16.12
050US18019,31.76
050US18021,18.4
050US18023,21.12
050US18025,21.64
050US18027,16.04
050US18029,30.26
050US18031,23.6
050US18033,15.58
050US18035,33.14
050US18037,13.68
050US18039,13.54
050US18041,49.06
050US18043,29.2
050US18045,19.84
050US18047,29.78
050US18049,19.74
050US18051,15.76
050US18053,29.7
050US18055,19.14
050US18057,12.76
050US18059,21.62
050US18061,22.44
050US18063,16.26
050US18065,27.5
050US18067,32.96
050US18069,18.54
050US18071,27.58
050US18073,19.36
050US18075,26.64
050US18077,22.52
050US18079,31.02
050US18081,20.88
050US18083,16.88
050US18085,15.76
050US18087,10.48
050US18089,23.16
050US18091,21.12
050US18093,17.88
050US18095,33.42
050US18097,33.92
050US18099,16.36
050US18101,18
050US18103,18.78
050US18105,18.56
050US18107,22.84
050US18109,26.92
050US18111,21.5
050US18113,13.04
050US18115,31.34
050US18117,16.72
050US18119,18.06
050US18121,16.78
050US18123,19.12
050US18125,15.72
050US18127,23.26
050US18129,18.32
050US18131,24.06
050US18133,15.48
050US18135,31.22
050US18137,26.68
050US18139,26.96
050US18141,19.78
050US18143,41.2
050US18145,22.7
050US18147,17.18
050US18149,35.12
050US18151,12.68
050US18153,21.18
050US18155,31.18
050US18157,18.48
050US18159,24.72
050US18161,38
050US18163,26.16
050US18165,21.86
050US18167,19.3
050US18169,22.64
050US18171,18.86
050US18173,12.9
050US18175,24.42
050US18177,52.24
050US18179,19.66
050US18181,19.46
050US18183,13.82
050US19001,12.44
050US19003,13.98
050US19005,13.2
050US19007,15.16
050US19009,11.98
050US19011,10.6
050US19013,9.38
050US19015,10.64
050US19017,9.74
050US19019,11.24
050US19021,11.36
050US19023,9.54
050US19025,11.52
050US19027,13.02
050US19029,12.8
050US19031,12.16
050US19033,12.06
050US19035,10.5
050US19037,10.1
050US19039,13.8
050US19041,10.56
050US19043,11.8
050US19045,12.16
050US19047,12.46
050US19049,8.66
050US19051,12.76
050US19053,14.54
050US19055,10.88
050US19057,13.14
050US19059,10.84
050US19061,10.38
050US19063,10.1
050US19065,11.5
050US19067,9.62
050US19069,9.58
050US19071,13.26
050US19073,11.36
050US19075,10.04
050US19077,11.18
050US19079,10.18
050US19081,9.7
050US19083,9.56
050US19085,12.4
050US19087,12.88
050US19089,9.64
050US19091,10.4
050US19093,11.56
050US19095,11.3
050US19097,12.84
050US19099,12.7
050US19101,13.3
050US19103,8.7
050US19105,11.46
050US19107,11.32
050US19109,10.16
050US19111,14.08
050US19113,13.04
050US19115,12.36
050US19117,14
050US19119,9.96
050US19121,12.7
050US19123,12.54
050US19125,12.66
050US19127,9.92
050US19129,12.04
050US19131,9.74
050US19133,12.4
050US19135,12.82
050US19137,14.44
050US19139,10.92
050US19141,10.82
050US19143,11.54
050US19145,14.8
050US19147,10.22
050US19149,9.86
050US19151,10.98
050US19153,16.42
050US19155,12.68
050US19157,11.56
050US19159,14.58
050US19161,12.02
050US19163,16.34
050US19165,12.3
050US19167,9.7
050US19169,8.58
050US19171,10.84
050US19173,14.02
050US19175,14.54
050US19177,13.58
050US19179,13.16
050US19181,12.04
050US19183,10.76
050US19185,14.6
050US19187,12.92
050US19189,9.86
050US19191,10.46
050US19193,10.14
050US19195,11.5
050US19197,10.32
050US20001,20.52
050US20003,17.64
050US20005,13.96
050US20007,18.44
050US20009,12.36
050US20011,21.12
050US20013,15.88
050US20015,16.04
050US20017,14.62
050US20019,20.7
050US20021,18.34
050US20023,14.28
050US20025,15.3
050US20027,12.96
050US20029,11.72
050US20031,17.28
050US20033,17.02
050US20035,17.56
050US20037,15.86
050US20039,13.16
050US20041,13.02
050US20043,13.64
050US20045,12.66
050US20047,13.6
050US20049,20
050US20051,13.04
050US20053,14.18
050US20055,12.46
050US20057,11.2
050US20059,16.42
050US20061,12.82
050US20063,12.94
050US20065,12.58
050US20067,13.62
050US20069,12.56
050US20071,16.9
050US20073,19.16
050US20075,17.26
050US20077,18.86
050US20079,13.94
050US20081,13.58
050US20083,12.46
050US20085,13.9
050US20087,13.62
050US20089,11.36
050US20091,10.1
050US20093,13.8
050US20095,17.64
050US20097,14.88
050US20099,18.9
050US20101,12.48
050US20103,14.58
050US20105,12.86
050US20107,19.98
050US20109,14.62
050US20111,12.36
050US20113,13.26
050US20115,13.96
050US20117,11.14
050US20119,14.26
050US20121,15.66
050US20123,11.7
050US20125,18.8
050US20127,13.18
050US20129,18.36
050US20131,12.08
050US20133,19.46
050US20135,13
050US20137,12.72
050US20139,15.8
050US20141,14.1
050US20143,12.2
050US20145,13.66
050US20147,11.64
050US20149,12.7
050US20151,16.36
050US20153,13.52
050US20155,16.44
050US20157,11
050US20159,14.46
050US20161,8.98
050US20163,13.18
050US20165,13.48
050US20167,13.92
050US20169,16.08
050US20171,13.1
050US20173,17.92
050US20175,14.74
050US20177,16.52
050US20179,12.7
050US20181,15.04
050US20183,12.52
050US20185,13.94
050US20187,16.58
050US20189,15.24
050US20191,17.44
050US20193,13.78
050US20195,12.96
050US20197,13.48
050US20199,15.04
050US20201,10.68
050US20203,14.62
050US20205,20.5
050US20207,20.38
050US20209,12.72
050US21001,24.7
050US21003,22.88
050US21005,30.88
050US21007,23.88
050US21009,18.26
050US21011,37.18
050US21013,55.64
050US21015,33.64
050US21017,31.64
050US21019,51.22
050US21021,27.42
050US21023,38.72
050US21025,48.32
050US21027,18.52
050US21029,27.4
050US21031,23.08
050US21033,19.9
050US21035,17.14
050US21037,55.18
050US21039,19.46
050US21041,33.66
050US21043,40.18
050US21045,29.96
050US21047,13.6
050US21049,42.24
050US21051,41.84
050US21053,42.86
050US21055,23.02
050US21057,31.56
050US21059,16.88
050US21061,22.96
050US21063,38.08
050US21065,51.1
050US21067,34.52
050US21069,33.34
050US21071,52.84
050US21073,28.52
050US21075,18.28
050US21077,45.38
050US21079,28.3
050US21081,44.76
050US21083,17.22
050US21085,26.54
050US21087,23.44
050US21089,42.44
050US21091,19.74
050US21093,18.7
050US21095,42.58
050US21097,41.52
050US21099,22.08
050US21101,17.04
050US21103,25.48
050US21105,19.04
050US21107,20.1
050US21109,31.5
050US21111,38.14
050US21113,34.24
050US21115,38.76
050US21117,57.6
050US21119,49.04
050US21121,41.54
050US21123,23.08
050US21125,26.22
050US21127,40.32
050US21129,49.82
050US21131,50.4
050US21133,42.06
050US21135,35.02
050US21137,29.92
050US21139,27.64
050US21141,17.38
050US21143,22.58
050US21145,21.36
050US21147,27.82
050US21149,23.04
050US21151,38.92
050US21153,43.9
050US21155,24.12
050US21157,22.28
050US21159,53
050US21161,34.74
050US21163,20.02
050US21165,41.14
050US21167,25.92
050US21169,25.16
050US21171,28.6
050US21173,37.68
050US21175,33
050US21177,20.26
050US21179,23.26
050US21181,35.46
050US21183,20.66
050US21185,18
050US21187,37.7
050US21189,47.38
050US21191,42.28
050US21193,46.14
050US21195,41.56
050US21197,53
050US21199,24.56
050US21201,36.94
050US21203,33.36
050US21205,31.04
050US21207,37.52
050US21209,25.44
050US21211,22.32
050US21213,18.9
050US21215,24.24
050US21217,28.24
050US21219,20.14
050US21221,19.68
050US21223,26.28
050US21225,25.64
050US21227,15.68
050US21229,23.46
050US21231,27.32
050US21233,21.94
050US21235,39.98
050US21237,50.98
050US21239,27.22
050US22001,21.26
050US22003,18.58
050US22005,21.12
050US22007,18.32
050US22009,19.36
050US22011,16.88
050US22013,15.26
050US22015,13.58
050US22017,13.52
050US22019,17.8
050US22021,16.96
050US22023,22.62
050US22025,17.74
050US22027,16.04
050US22029,16.5
050US22031,15.7
050US22033,19.88
050US22035,13.44
050US22037,16
050US22039,21.32
050US22041,13.62
050US22043,15.94
050US22045,18.34
050US22047,17.4
050US22049,15.68
050US22051,34.88
050US22053,25.22
050US22055,19.42
050US22057,19.98
050US22059,20.4
050US22061,11.56
050US22063,35.86
050US22065,13.5
050US22067,18.7
050US22069,13.06
050US22071,35.76
050US22073,16.58
050US22075,25.62
050US22077,18.14
050US22079,20.82
050US22081,14.34
050US22083,15.96
050US22085,13.96
050US22087,45.96
050US22089,23.26
050US22091,23.3
050US22093,18.14
050US22095,23.8
050US22097,18.32
050US22099,15.06
050US22101,20.76
050US22103,32.42
050US22105,28.68
050US22107,14.26
050US22109,28.48
050US22111,14.38
050US22113,17.3
050US22115,13.92
050US22117,50.74
050US22119,14.92
050US22121,18.12
050US22123,18.04
050US22125,18.46
050US22127,17.52
050US23001,23.16
050US23003,16.48
050US23005,25.36
050US23007,17.56
050US23009,19.52
050US23011,28.12
050US23013,21.92
050US23015,21.94
050US23017,18.66
050US23019,27.72
050US23021,21.1
050US23023,16.92
050US23025,21.98
050US23027,19.14
050US23029,30.2
050US23031,28.12
050US24001,36.08
050US24003,37.22
050US24005,43.84
050US24009,29.32
050US24011,29.82
050US24013,32.46
050US24015,49.12
050US24017,21.08
050US24019,24.5
050US24021,26.2
050US24023,21.28
050US24025,34.46
050US24027,15.46
050US24029,27.28
050US24031,11
050US24033,14.24
050US24035,26.1
050US24037,22.92
050US24039,23.8
050US24041,22.18
050US24043,39.5
050US24045,25.56
050US24047,28.34
050US24510,88.58
050US25001,34.08
050US25003,28.34
050US25005,42.12
050US25007,22.96
050US25009,35.04
050US25011,21.58
050US25013,33.58
050US25015,20.98
050US25017,22.52
050US25019,19.88
050US25021,24.84
050US25023,34.38
050US25025,29.66
050US25027,31.02
050US26001,20.24
050US26003,18.56
050US26005,14.06
050US26007,17.32
050US26009,17.88
050US26011,20.08
050US26013,17.54
050US26015,15.02
050US26017,23.78
050US26019,18.5
050US26021,18.64
050US26023,16.6
050US26025,30.98
050US26027,16.1
050US26029,15.7
050US26031,17.72
050US26033,15.76
050US26035,24.34
050US26037,13.74
050US26039,25.6
050US26041,15.3
050US26043,20.56
050US26045,17.4
050US26047,14.88
050US26049,34.62
050US26051,22.56
050US26053,19.56
050US26055,17.1
050US26057,13.34
050US26059,16.04
050US26061,13.48
050US26063,17.74
050US26065,25.38
050US26067,15.88
050US26069,22.92
050US26071,19.44
050US26073,15.02
050US26075,11.14
050US26077,18.2
050US26079,19.28
050US26081,15.6
050US26083,16.3
050US26085,17.22
050US26087,18.44
050US26089,14.68
050US26091,19.08
050US26093,18.16
050US26095,16.88
050US26097,16.48
050US26099,35.42
050US26101,24.1
050US26103,17.94
050US26105,18.24
050US26107,13.64
050US26109,17.14
050US26111,15.28
050US26113,20.54
050US26115,30.16
050US26117,16.44
050US26119,18.32
050US26121,24.22
050US26123,15.32
050US26125,12.76
050US26127,16.98
050US26129,24.86
050US26131,18.78
050US26133,18.16
050US26135,23.34
050US26137,21.46
050US26139,13.64
050US26141,18.06
050US26143,25.38
050US26145,20.68
050US26147,34.02
050US26149,14.16
050US26151,17.5
050US26153,18.56
050US26155,20.26
050US26157,16.52
050US26159,21.08
050US26161,18.42
050US26163,39.62
050US26165,20.74
050US27001,17.14
050US27003,12.16
050US27005,12.1
050US27007,15.6
050US27009,12.12
050US27011,10.68
050US27013,8.86
050US27015,9.76
050US27017,15.78
050US27019,7.66
050US27021,20.14
050US27023,9.94
050US27025,11.28
050US27027,12.38
050US27029,15.1
050US27031,16.1
050US27033,10.82
050US27035,13.32
050US27037,9.7
050US27039,10.1
050US27041,9.54
050US27043,10.32
050US27045,10.94
050US27047,10.36
050US27049,10.28
050US27051,10.02
050US27053,15.58
050US27055,12.16
050US27057,13.76
050US27059,12.28
050US27061,14.94
050US27063,10.42
050US27065,13.3
050US27067,9.84
050US27069,13.14
050US27071,16.32
050US27073,10.34
050US27075,16.58
050US27077,16.52
050US27079,9.5
050US27081,10.82
050US27083,11.74
050US27085,10.24
050US27087,18.36
050US27089,12.7
050US27091,10.62
050US27093,11
050US27095,17.82
050US27097,14.32
050US27099,11.66
050US27101,11.02
050US27103,9.52
050US27105,11.76
050US27107,11.3
050US27109,10.34
050US27111,10.36
050US27113,15.18
050US27115,14.38
050US27117,10.16
050US27119,13.42
050US27121,10.4
050US27123,16.46
050US27125,13.46
050US27127,11.62
050US27129,10.94
050US27131,9.28
050US27133,10.92
050US27135,15.48
050US27137,17.02
050US27139,8.48
050US27141,10.98
050US27143,9.46
050US27145,10.82
050US27147,9.82
050US27149,10.18
050US27151,10.02
050US27153,11.96
050US27155,10.78
050US27157,11.28
050US27159,13.78
050US27161,10.18
050US27163,10.66
050US27165,9.84
050US27167,10.4
050US27169,12.14
050US27171,8.3
050US27173,10.62
050US28001,14.94
050US28003,17.76
050US28005,17.34
050US28007,12.28
050US28009,14.64
050US28011,10.72
050US28013,13.82
050US28015,12.38
050US28017,13.44
050US28019,12.26
050US28021,11.72
050US28023,15.54
050US28025,12.16
050US28027,16.2
050US28029,12.58
050US28031,17.7
050US28033,17.26
050US28035,13.78
050US28037,17.1
050US28039,20
050US28041,16.78
050US28043,12.46
050US28045,35.56
050US28047,21.18
050US28049,9.34
050US28051,11.98
050US28053,10.96
050US28055,12.16
050US28057,15.98
050US28059,22.04
050US28061,14.36
050US28063,13.24
050US28065,16.52
050US28067,13.24
050US28069,12.34
050US28071,11.72
050US28073,15.38
050US28075,10.9
050US28077,17.72
050US28079,12.42
050US28081,13.14
050US28083,11.58
050US28085,14.36
050US28087,11.66
050US28089,9.1
050US28091,25.54
050US28093,13.34
050US28095,12.14
050US28097,14.3
050US28099,13.06
050US28101,13.4
050US28103,11.9
050US28105,9.06
050US28107,14.98
050US28109,30.66
050US28111,17.36
050US28113,14.94
050US28115,16.46
050US28117,16.1
050US28119,16.18
050US28121,14.48
050US28123,11.6
050US28125,11.86
050US28127,15.72
050US28129,15.38
050US28131,21.6
050US28133,11.62
050US28135,14.24
050US28137,18.44
050US28139,16.1
050US28141,22.2
050US28143,15.28
050US28145,13.56
050US28147,21.26
050US28149,10.84
050US28151,10.3
050US28153,16.68
050US28155,13.82
050US28157,16.66
050US28159,12.8
050US28161,13.84
050US28163,11.32
050US29001,17.06
050US29003,14.78
050US29005,13.04
050US29007,16.98
050US29009,15.72
050US29011,20.28
050US29013,23.36
050US29015,20.5
050US29017,23.12
050US29019,15.84
050US29021,14.8
050US29023,25.9
050US29025,19.42
050US29027,19.28
050US29029,21.08
050US29031,18.6
050US29033,18.64
050US29035,25.72
050US29037,15.14
050US29039,23.68
050US29041,17.36
050US29043,17.42
050US29045,14.86
050US29047,15.5
050US29049,18.42
050US29051,15.68
050US29053,17.58
050US29055,28.86
050US29057,21.18
050US29059,21.56
050US29061,16.94
050US29063,16.66
050US29065,30.28
050US29067,19.44
050US29069,22.06
050US29071,32.42
050US29073,25.48
050US29075,16.28
050US29077,28.14
050US29079,18.1
050US29081,16.92
050US29083,15.68
050US29085,23.44
050US29087,13.62
050US29089,16.28
050US29091,19.84
050US29093,30.46
050US29095,18.76
050US29097,14.54
050US29099,39.34
050US29101,10.8
050US29103,16.38
050US29105,17.92
050US29107,14.94
050US29109,18.56
050US29111,16.98
050US29113,26.34
050US29115,16.6
050US29117,20.88
050US29119,17
050US29121,16.52
050US29123,26.94
050US29125,23.24
050US29127,20.4
050US29129,15.32
050US29131,18.52
050US29133,22.2
050US29135,18.72
050US29137,18.32
050US29139,25.62
050US29141,17.66
050US29143,21.7
050US29145,15.98
050US29147,13.4
